filename,mfcc_mean1,mfcc_mean2,mfcc_mean3,mfcc_mean4,mfcc_mean5,mfcc_mean6,mfcc_mean7,mfcc_mean8,mfcc_mean9,mfcc_mean10,mfcc_mean11,mfcc_mean12,mfcc_mean13,mfcc_mean14,mfcc_mean15,mfcc_mean16,mfcc_mean17,mfcc_mean18,mfcc_mean19,mfcc_mean20,mfcc_std1,mfcc_std2,mfcc_std3,mfcc_std4,mfcc_std5,mfcc_std6,mfcc_std7,mfcc_std8,mfcc_std9,mfcc_std10,mfcc_std11,mfcc_std12,mfcc_std13,mfcc_std14,mfcc_std15,mfcc_std16,mfcc_std17,mfcc_std18,mfcc_std19,mfcc_std20,cent_mean,cent_std,cent_skew,rolloff_mean,rolloff_std,label
ID00_hc_0_0_0.wav_fragment_0.wav,-505.60168,101.29103,50.59291,37.73968,0.051330812,-22.537048,-8.030754,-1.1318109,-5.954812,1.8451754,-4.343966,-0.5859899,-6.6198964,3.6398587,-3.8058307,-7.226513,-2.9569087,-1.5174571,-1.5028986,-3.983694,71.403595,59.389484,28.169577,21.679676,18.135735,20.12239,11.171976,8.887886,10.829906,9.069687,9.681686,8.107667,8.028738,7.4745893,6.929086,8.931852,7.121746,6.6385884,5.0721374,6.356627,2211.914193837762,1832.2176350726854,1.4690489084352338,4047.594197591146,3185.2820688215365,HC
ID00_hc_0_0_0.wav_fragment_1.wav,-526.335,120.73447,39.729935,38.860188,-1.5411978,-28.65459,-11.724535,-3.290982,-2.4358509,3.2683318,-4.294446,2.8016887,-5.648322,6.1299596,1.8031076,-7.614422,-0.83851254,-2.6478214,-0.8460458,-0.87024546,93.043365,42.937935,30.547829,25.037487,16.174374,21.780443,12.398436,8.893243,12.838457,10.371357,12.368772,11.469305,9.56069,6.5680614,7.853409,10.797393,5.833153,7.4084687,5.759777,5.168825,1620.7402173637092,952.3303118903905,1.4115961225454976,3306.0943603515625,2396.2665766658993,HC
ID00_hc_0_0_0.wav_fragment_10.wav,-522.95514,107.313896,43.81594,37.45793,-0.4028764,-19.6337,-5.897346,-1.3306586,-4.074365,4.5713525,-3.3171995,5.2093387,-3.6937647,3.3370972,0.009551137,-3.5801883,0.6345985,-1.4173424,-4.4929357,-4.109734,88.42153,48.259678,33.19818,22.77593,14.161353,19.518337,12.260454,7.567374,13.635121,10.520994,9.329077,9.837908,10.951657,6.2458596,6.8046093,8.531135,7.2959003,6.2281966,5.4089637,6.0134134,2003.5305723164956,1455.232865103009,2.015542732635492,4039.220174153646,2604.207605672551,HC
ID00_hc_0_0_0.wav_fragment_11.wav,-523.3543,94.96437,46.32573,43.37706,1.5051078,-19.889784,-6.258972,-1.5730636,-3.5123806,2.9619503,-5.0413456,3.9315417,-2.7473857,3.5006635,-0.6374324,-0.6458803,-1.4058428,-2.1715515,-5.1097326,-5.5723457,61.967987,55.81928,29.988798,21.581947,17.419147,18.547415,12.458955,8.610507,10.018696,9.829298,7.7428503,10.319038,9.064427,7.738806,5.9793925,7.8656816,6.487541,6.0909343,6.4084277,5.736011,2412.6881593285802,1803.2001361804007,1.3869763282854755,4652.3681640625,2997.5137557152752,HC
ID00_hc_0_0_0.wav_fragment_12.wav,-499.3391,86.57498,41.172382,38.570103,3.4253266,-20.80365,-6.0959225,-0.53263783,-0.67502606,0.8696984,-6.4238157,6.7208056,-6.654758,3.675008,2.0875769,-3.498208,0.2985466,0.37763,-5.4325075,-3.3454177,79.73548,56.317097,43.058582,22.362335,17.076841,21.70561,11.216201,7.94813,12.970748,11.960854,11.026228,9.217741,10.69339,8.762632,7.049063,7.856803,6.6172733,5.8379416,5.2132406,5.291357,2739.8664235189317,1933.9165839013378,1.2176410015198464,5321.6420491536455,2901.0836874498145,HC
ID00_hc_0_0_0.wav_fragment_13.wav,-520.39795,101.74694,36.73544,35.838203,1.2958165,-19.390446,-5.246538,-3.0725188,-3.5109286,1.1662363,-3.4646256,5.2450128,-2.5400517,5.481301,0.43122745,-2.4872847,1.7131776,0.024521934,-3.6810336,-4.3105383,69.2277,49.19495,30.273132,23.870167,20.932224,20.952665,13.520652,11.49571,12.6563635,9.880039,8.936604,7.465077,9.937775,6.085767,5.860205,8.099824,6.5322723,6.582158,6.4790063,6.436072,2265.1298561067283,1434.4137133210345,1.2351332661099765,4713.4287516276045,2750.6340229732477,HC
ID00_hc_0_0_0.wav_fragment_14.wav,-515.90826,101.650375,51.830032,40.7106,3.0794225,-18.02167,-5.1084757,-7.4978757,-8.5385,1.6475133,-5.3899555,4.3285675,-7.6774454,2.4067996,2.2090356,-3.5926905,-0.9921121,-1.2062762,-3.502213,-3.4491193,59.770603,46.86895,29.054134,25.963516,14.030608,18.673805,10.636465,10.222885,12.785629,10.576886,8.455531,8.898118,10.258275,7.5818496,7.1197457,6.1586103,7.101851,6.9658294,5.0088725,5.512496,2087.925106994925,1598.8026348592452,1.7154906325211023,4077.4515787760415,2920.18989291422,HC
ID00_hc_0_0_0.wav_fragment_15.wav,-539.6249,90.65411,51.293888,35.51213,-5.9623866,-7.392985,-3.1522644,-3.723576,-1.5841966,3.298136,-0.673525,5.5277834,-0.57553226,8.804917,-0.8991204,-1.9118052,-1.0478755,-1.404111,-2.4908032,-2.249564,70.581825,47.873672,25.379042,13.867862,20.854206,16.422388,13.160914,9.460566,11.046091,8.711991,8.099165,6.6213465,7.7225537,7.364486,6.7876306,6.979917,6.8869877,6.3939867,5.9303694,4.9503665,2491.779540115255,1418.0954190970458,1.1541638964673595,5362.2161865234375,2623.3754460792006,HC
ID00_hc_0_0_0.wav_fragment_16.wav,-500.6883,91.25926,46.766953,47.193783,3.273549,-23.641212,-7.619631,0.67733127,-7.9191136,-5.156228,-5.3086796,7.0895557,-7.431297,3.7814395,0.5329098,0.028625913,0.17109048,-2.8561127,-3.6132157,0.7768174,77.64683,53.02941,34.618465,23.393875,17.248743,21.036028,9.990281,10.477722,13.052315,10.302937,10.012475,10.284925,12.713016,7.528767,6.4626155,7.881262,8.204214,6.3693075,5.846125,5.115379,2402.326119447377,1635.098053343479,1.3554465825674726,4811.4247639973955,2743.8043767784093,HC
ID00_hc_0_0_0.wav_fragment_17.wav,-520.2138,103.3746,42.855618,41.012814,3.8267534,-20.809914,-9.018811,-3.4295743,-1.1437246,-1.4794648,-4.178792,9.268718,-6.1932654,3.3104534,2.0353954,-2.833644,-0.43542823,-5.04582,-2.2612383,-0.6674974,73.89102,47.334213,35.369007,20.581497,16.146505,16.932467,10.848934,11.988766,10.203686,10.1309,9.437423,8.660659,10.340435,6.541665,6.2969375,8.7034645,6.654882,6.555772,5.428451,5.4793086,2082.517566603395,1463.6103612997579,1.9790211107497289,4262.6271565755205,2739.427771297346,HC
ID00_hc_0_0_0.wav_fragment_18.wav,-535.7059,107.15231,44.389458,37.893677,-0.6954484,-17.94365,-8.909474,1.2169026,-3.7990067,-3.3111758,-2.0707362,6.7840147,-3.3896954,6.6971345,2.3196518,-1.2506528,-1.515924,-2.2861938,-2.009071,0.16056138,84.659225,45.316418,31.150793,23.726963,21.430363,18.734049,12.4584255,9.918167,10.482549,9.265432,10.427401,8.99335,10.353442,7.3037095,6.3306007,7.0580416,7.3871794,7.504761,6.019631,5.8375187,1930.117641864643,1085.8906279973905,1.4502090412913933,4093.402099609375,2495.0844528454713,HC
ID00_hc_0_0_0.wav_fragment_19.wav,-513.99603,94.80616,48.63763,49.493427,2.4889603,-20.272705,-9.282004,-3.9287703,-6.020963,-0.49685004,-4.5091567,6.701928,-9.822223,3.1300476,3.9208465,-3.4419003,-1.8687968,-4.2472925,-2.8480332,-1.3887024,79.25309,39.295246,29.729563,22.29126,13.43058,22.107187,11.880414,12.18806,12.31181,10.674744,9.552737,11.085503,9.868621,7.045914,6.3805356,7.865115,6.6999207,7.537214,5.8318205,5.2406583,2006.6893530917603,1198.3789487481715,1.9175622965049863,4205.2052815755205,2377.23248730432,HC
ID00_hc_0_0_0.wav_fragment_2.wav,-504.3367,91.160225,42.37715,49.030937,4.97918,-25.18151,-9.024407,0.64450556,-3.0629883,2.3415568,-7.3173604,2.9533036,-9.53305,9.108765,0.7231769,-7.1856027,-4.4394464,0.19088534,0.0037771862,-1.8620682,64.70323,50.53113,26.957571,23.665026,19.552542,19.310043,10.401974,10.558896,10.930994,11.730905,10.424335,7.826097,9.407289,8.798773,7.5368085,9.254547,6.4780226,8.011116,6.1866884,6.187035,2335.9257418156744,1574.3845716794387,1.3073361179447553,4574.310302734375,2826.0120469436793,HC
ID00_hc_0_0_0.wav_fragment_20.wav,-515.5454,102.78029,40.347885,36.924995,-1.7444184,-13.759066,-8.488298,-7.305209,-1.5192183,6.4417915,-1.5030488,3.5544586,-5.574508,6.25235,1.4192592,-1.4729584,-0.63476235,-3.4840088,-0.8339849,-2.6074553,81.78413,48.099743,35.11386,17.972702,16.125158,17.41813,11.072315,9.596335,12.742968,11.329254,9.235662,8.859019,10.551069,5.9267035,6.80998,6.8130827,6.773752,6.43387,5.93514,5.394457,2181.950395337148,1539.6685376508583,1.6970016625547457,4433.048502604167,2765.290237752595,HC
ID00_hc_0_0_0.wav_fragment_21.wav,-517.51276,100.710495,43.116596,35.980892,-3.1002886,-16.045237,-4.181561,-3.2786863,-2.6115186,2.4354858,-2.6390393,5.024973,-4.0115337,5.572052,2.423285,-0.77788913,-1.4268541,-3.3005733,-2.0305655,-2.708586,84.38199,51.260014,32.83163,22.38676,19.766937,20.497458,12.07924,10.899212,11.446376,10.805238,7.9729605,9.865074,9.47601,6.527629,6.033087,7.2557416,7.14554,7.596011,5.595179,5.1968217,2252.3035899152146,1563.607574529911,1.6029403505317987,4531.8918863932295,2769.6412250497674,HC
ID00_hc_0_0_0.wav_fragment_22.wav,-502.88147,86.922714,48.399773,42.3138,5.2910895,-20.540916,-9.432838,-1.7426649,-3.7018201,-0.735456,-4.4625454,8.223438,-6.798696,5.081438,3.1819525,-3.4529622,-1.1207541,-2.4609191,-4.655339,-0.11650976,79.941216,53.375362,35.767708,25.289675,13.309174,19.648201,12.752707,8.622466,13.240415,8.953976,9.284631,8.716455,10.741683,6.766159,6.3798285,9.704214,6.7098584,6.88288,5.4184957,5.446655,2595.773495019988,1876.1025652673281,1.2136067323730795,5124.7528076171875,2917.1709582865965,HC
